Model,MSE,RMSE,MAE,R² Score
ANN Prediction,821353.6123307854,906.2856129999998,906.2856129999998,N/A
Linear Regression,913247.5273387427,955.6398523181956,955.6398523181956,N/A
Random Forest,129971.7721439612,360.5159804279988,360.5159804279988,N/A
